Provincia,TAE,Poblacion,Total_fallecidos,Año
Buenos Aires,102.5,17541141,17979.67,2020
Catamarca,4.9,415418,20.36,2020
Córdoba,86.8,3722332,3230.98,2020
Corrientes,30.1,1112000,334.71,2020
Chaco,75.7,1141000,863.74,2020
Chubut,93.2,618994,576.9,2020
Entre Rios,42.6,1385961,590.42,2020
Formosa,2,605193,12.1,2020
Jujuy,202.5,770881,1561.03,2020
La Pampa,29.9,358428,107.17,2020
La Rioja,114.3,403248,460.91,2020
Mendoza,91.7,2010363,1843.5,2020
Misiones,5.2,1261294,65.59,2020
Neuqúen,162.2,664057,1077.1,2020
Rio Negro,141.7,747610,1059.36,2020
Salta,125.4,1424397,1786.19,2020
San Juan,57.8,781217,451.54,2020
San Luis,54.7,508328,278.06,2020
Santa Cruz,165.9,365698,606.69,2020
Santa Fe,88,3536418,3112.05,2020
Santiago del Estero,42.5,978313,415.78,2020
Tucumán,113.6,1694656,1925.13,2020
Tierra del Fuego,241.4,173432,418.66,2020
Buenos Aires,157.7,300000,473.1,2021
Catamarca,190.5,429208,817.64,2021
Córdoba,122.3,3978984,4866.3,2021
Corrientes,140.8,1130320,1591.49,2021
Chaco,210.7,1142963,2408.22,2021
Chubut,161.7,603120,975.25,2021
Entre Rios,129.5,1426426,1847.22,2021
Formosa,205.2,606041,1243.6,2021
Jujuy,114.7,797955,915.25,2021
La Pampa,182.8,366022,669.09,2021
La Rioja,172.1,403248,693.99,2021
Mendoza,150.9,2012363,3033.64,2021
Misiones,159.3,1280000,2039.04,2021
Neuqúen,238.2,710814,1693.16,2021
Rio Negro,185.4,750768,1391.92,2021
Salta,108.4,1440672,1561.69,2021
San Juan,142.7,818234,1167.62,2021
san luis,173.7,540905,939.55,2021
Santa Cruz,212.6,335677,713.65,2021
Santa Fe,144.2,3544908,5111.76,2021
Santiago del Estero,240.5,1054028,2155.49,2021
Tucumán,169.5,1731820,2935.43,2021
Tierra del Fuego,176.1,190641,335.72,2021
Buenos Aires,33.7,17569053,5920.77,2022
Catamarca,54,429534,231.95,2022
Córdoba,42.1,3978984,1675.15,2022
Corrientes,75.5,1209671,913.3,2022
Chaco,62.2,1129501,702.55,2022
Chubut,42.7,603120,257.53,2022
Entre Rios,36.9,1426426,526.35,2022
Formosa,21.2,606041,128.48,2022
Jujuy,44.5,811611,316.17,2022
La Pampa,27,366022,98.83,2022
La Rioja,51.5,384607,198.07,2022
Mendoza,46.8,2014533,942.8,2022
Misiones,70.5,1278873,901.61,2022
Neuqúen,53.8,710801,382.41,2022
Rio Negro,46,750694,345.32,2022
Salta,39.1,1440672,563.3,2022
San Juan,37.7,822853,310.22,2022
san luis,27.4,540905,148.21,2022
Santa Cruz,57.1,333473,190.41,2022
Santa Fe,28.8,3556522,1024.28,2022
Santiago del Estero,38.5,1060906,408.45,2022
Tucumán,65.7,1731820,1137.81,2022
Tierra del Fuego,60,190641,114.38,2022
Buenos Aires,3,17569053,527.07,2023
Catamarca,4.7,429534,20.19,2023
Córdoba,2.6,3978984,103.45,2023
Corrientes,15.5,1209671,187.5,2023
Chaco,2.8,1129501,31.63,2023
Chubut,3,603120,18.09,2023
Entre Rios,3.1,1426426,44.22,2023
Formosa,0.7,606041,4.24,2023
Jujuy,2.3,811611,18.67,2023
La Pampa,3.9,366022,14.27,2023
La Rioja,1.7,384607,6.54,2023
Mendoza,6.3,2014533,126.92,2023
Misiones,4,1278873,51.15,2023
Neuqúen,2.8,710801,19.9,2023
Rio Negro,5.4,750694,40.54,2023
Salta,1.7,1440672,24.49,2023
San Juan,2.1,822853,17.28,2023
san luis,3.9,540905,21.1,2023
Santa Cruz,9.9,333473,33.01,2023
Santa Fe,3.3,3556522,117.37,2023
Santiago del Estero,2.7,1060906,28.64,2023
Tucumán,5.8,1731820,100.45,2023
Tierra del Fuego,1.7,190614,3.24,2023
